               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.044609,            0.024595,            0.019233,             0.74144,             0.64656,             0.70689,             0.43351,            0.041409,            0.013247,            0.011575,           0.0050005,           0.0050005,           0.0050005
                 103,            0.044275,            0.024594,            0.019224,             0.74178,             0.64706,             0.70731,              0.4337,            0.041395,            0.013243,            0.011564,            0.004951,            0.004951,            0.004951
                 104,            0.044216,            0.025204,            0.018769,             0.74307,             0.64659,              0.7074,             0.43393,            0.041382,            0.013237,            0.011554,           0.0049015,           0.0049015,           0.0049015
                 105,            0.043998,             0.02469,            0.019442,             0.74345,             0.64638,             0.70751,             0.43415,             0.04137,            0.013234,            0.011547,            0.004852,            0.004852,            0.004852
                 106,             0.04432,            0.024811,            0.018989,             0.74457,             0.64605,             0.70776,             0.43474,            0.041359,            0.013229,            0.011539,           0.0048025,           0.0048025,           0.0048025
                 107,             0.04397,            0.024481,            0.019003,             0.74333,             0.64744,             0.70787,             0.43466,            0.041348,            0.013226,            0.011528,            0.004753,            0.004753,            0.004753
                 108,            0.044237,            0.024958,            0.018852,             0.74676,             0.64673,             0.70824,             0.43505,            0.041336,            0.013222,            0.011518,           0.0047035,           0.0047035,           0.0047035
                 109,            0.044224,            0.024999,            0.018714,             0.74635,             0.64751,              0.7088,             0.43516,            0.041323,            0.013218,            0.011506,            0.004654,            0.004654,            0.004654
                 110,            0.044118,            0.024925,            0.018925,             0.74743,             0.64736,             0.70891,             0.43544,            0.041309,            0.013214,            0.011495,           0.0046045,           0.0046045,           0.0046045
                 111,            0.043914,             0.02514,            0.018794,             0.75178,              0.6455,             0.70906,             0.43587,            0.041299,            0.013211,            0.011481,            0.004555,            0.004555,            0.004555
                 112,            0.044115,            0.024776,            0.018463,             0.75248,             0.64411,             0.70894,             0.43563,            0.041287,            0.013208,            0.011469,           0.0045055,           0.0045055,           0.0045055
                 113,            0.043404,            0.024238,            0.018933,             0.75313,             0.64484,              0.7093,             0.43571,            0.041275,            0.013205,            0.011457,            0.004456,            0.004456,            0.004456
                 114,            0.044035,            0.024765,            0.018198,             0.75304,             0.64453,             0.70937,             0.43602,            0.041265,            0.013201,            0.011447,           0.0044065,           0.0044065,           0.0044065
                 115,            0.043867,            0.025302,            0.018498,             0.75485,             0.64359,             0.70931,             0.43665,            0.041254,            0.013197,            0.011435,            0.004357,            0.004357,            0.004357
                 116,            0.043621,            0.024875,            0.018971,             0.75391,             0.64411,             0.70992,             0.43688,            0.041244,            0.013192,            0.011423,           0.0043075,           0.0043075,           0.0043075
                 117,            0.043901,            0.024854,            0.019052,             0.75375,               0.645,             0.71004,             0.43682,            0.041234,            0.013189,            0.011416,            0.004258,            0.004258,            0.004258
                 118,              0.0437,            0.024435,            0.018062,              0.7528,             0.64634,              0.7102,             0.43728,            0.041222,            0.013185,            0.011406,           0.0042085,           0.0042085,           0.0042085
                 119,            0.043353,            0.024756,            0.018046,             0.75376,             0.64585,             0.71041,              0.4374,            0.041211,            0.013179,            0.011395,            0.004159,            0.004159,            0.004159
                 120,            0.043105,            0.024731,            0.018185,             0.75361,             0.64512,             0.71044,             0.43773,            0.041201,            0.013175,            0.011385,           0.0041095,           0.0041095,           0.0041095
                 121,            0.043476,             0.02472,            0.018518,             0.75335,             0.64518,             0.71066,             0.43773,             0.04119,             0.01317,            0.011377,             0.00406,             0.00406,             0.00406
                 122,             0.04354,            0.024914,            0.018451,             0.75132,             0.64608,             0.71058,             0.43798,             0.04118,            0.013166,            0.011369,           0.0040105,           0.0040105,           0.0040105
                 123,            0.043425,            0.024376,            0.018568,             0.75283,             0.64646,             0.71094,              0.4383,             0.04117,            0.013162,             0.01136,            0.003961,            0.003961,            0.003961
                 124,            0.043014,            0.024753,             0.01825,             0.75768,             0.64535,             0.71093,             0.43883,            0.041162,            0.013158,             0.01135,           0.0039115,           0.0039115,           0.0039115
                 125,            0.042833,            0.024226,             0.01827,             0.75043,             0.64842,               0.711,             0.43908,             0.04115,            0.013155,            0.011343,            0.003862,            0.003862,            0.003862
                 126,            0.043561,             0.02465,            0.017756,             0.75539,             0.64717,              0.7117,             0.43925,            0.041139,            0.013152,            0.011337,           0.0038125,           0.0038125,           0.0038125
                 127,             0.04285,            0.024806,            0.018232,             0.75087,              0.6496,             0.71172,             0.43932,            0.041127,            0.013148,            0.011329,            0.003763,            0.003763,            0.003763
                 128,            0.043079,            0.024675,            0.017899,             0.75064,             0.65106,             0.71196,             0.43947,            0.041116,            0.013144,            0.011324,           0.0037135,           0.0037135,           0.0037135
                 129,            0.042827,             0.02428,            0.018345,             0.75316,             0.65029,             0.71219,             0.43959,            0.041104,             0.01314,            0.011317,            0.003664,            0.003664,            0.003664
                 130,            0.042771,            0.024782,            0.017435,             0.75324,             0.65095,             0.71224,              0.4399,            0.041091,            0.013135,            0.011311,           0.0036145,           0.0036145,           0.0036145
                 131,            0.043108,             0.02505,            0.017679,             0.75438,             0.65121,             0.71285,             0.44039,            0.041077,            0.013131,              0.0113,            0.003565,            0.003565,            0.003565
                 132,            0.042852,            0.024449,            0.018149,              0.7559,              0.6508,             0.71312,             0.44043,            0.041064,            0.013127,            0.011294,           0.0035155,           0.0035155,           0.0035155
                 133,            0.042397,            0.024627,            0.017825,             0.75666,             0.65203,             0.71327,             0.44077,            0.041051,            0.013122,            0.011286,            0.003466,            0.003466,            0.003466
                 134,            0.042997,            0.024717,            0.017778,             0.75686,             0.65199,             0.71363,               0.441,            0.041037,            0.013118,            0.011278,           0.0034165,           0.0034165,           0.0034165
                 135,            0.042567,            0.024264,            0.017651,             0.75797,               0.652,             0.71408,             0.44144,            0.041025,            0.013114,            0.011268,            0.003367,            0.003367,            0.003367
                 136,            0.042662,            0.024113,            0.017536,             0.75981,             0.65043,             0.71409,              0.4417,            0.041012,             0.01311,            0.011256,           0.0033175,           0.0033175,           0.0033175
                 137,            0.042599,             0.02423,            0.017308,             0.75943,             0.65091,             0.71415,             0.44228,            0.040999,            0.013107,            0.011246,            0.003268,            0.003268,            0.003268
                 138,            0.042409,            0.024382,             0.01798,             0.75971,             0.64936,             0.71407,             0.44255,            0.040988,            0.013103,            0.011238,           0.0032185,           0.0032185,           0.0032185
                 139,            0.042803,            0.024915,            0.017494,             0.75912,             0.64914,             0.71383,             0.44286,            0.040979,            0.013099,            0.011233,            0.003169,            0.003169,            0.003169
                 140,            0.042588,             0.02433,            0.017168,             0.75918,             0.64836,             0.71391,             0.44272,            0.040967,            0.013096,            0.011229,           0.0031195,           0.0031195,           0.0031195
                 141,            0.042859,            0.024571,            0.017011,             0.76031,             0.64933,             0.71438,             0.44258,            0.040952,            0.013091,            0.011223,             0.00307,             0.00307,             0.00307
                 142,            0.041923,            0.023954,            0.016835,             0.75909,             0.65004,             0.71423,             0.44261,            0.040938,            0.013086,            0.011218,           0.0030205,           0.0030205,           0.0030205
                 143,            0.042031,            0.024538,            0.017361,             0.75759,             0.65175,              0.7145,             0.44276,            0.040927,            0.013082,            0.011212,            0.002971,            0.002971,            0.002971
                 144,            0.042825,            0.024418,            0.017707,             0.75849,             0.65169,             0.71531,             0.44297,            0.040913,            0.013078,            0.011204,           0.0029215,           0.0029215,           0.0029215
